fluentd	7.2.5	https://charts.bitnami.com/bitnami	33
opentelemetry-operator	0.122.0	https://open-telemetry.github.io/opentelemetry-helm-charts	33
vpa	5.0.1	https://charts.fairwinds.com/stable	33
ghost	25.0.4	https://charts.bitnami.com/bitnami	32
kubernetes-event-exporter	3.6.3	https://charts.bitnami.com/bitnami	32
prometheus-pushgateway	3.8.0	https://prometheus-community.github.io/helm-charts	31
clickhouse	9.4.4	https://charts.bitnami.com/bitnami	31
mariadb-galera	16.0.1	https://charts.bitnami.com/bitnami	31
matrix-synapse	3.12.36	https://ananace.gitlab.io/charts	31
apisix	2.17.0	https://charts.apiseven.com	31
trino	1.42.2	https://trinodb.github.io/charts/	31
dagster	1.13.20	https://dagster-io.github.io/helm	30
mailhog	5.8.0	https://codecentric.github.io/helm-charts	30
phpmyadmin	20.0.0	https://charts.bitnami.com/bitnami	30
prometheus-redis-exporter	6.30.0	https://prometheus-community.github.io/helm-charts	30
zabbix	7.1.0	https://zabbix-community.github.io/helm-zabbix/	30
artifactory	107.161.20	https://charts.jfrog.io	30
rook-ceph-cluster	1.20.7	https://charts.rook.io/release	29
netdata	3.7.173	https://netdata.github.io/helmchart	29
nexus3	5.25.1	https://stevehipwell.github.io/helm-charts/	29
connect	2.4.1	https://1password.github.io/connect-helm-charts	29
step-certificates	1.30.1	https://smallstep.github.io/helm-charts/	29
opencost	2.5.30	https://opencost.github.io/opencost-helm-chart/	28
graylog	3.0.30	https://charts.kong-z.com/	28
node-problem-detector	2.4.1	https://raw.githubusercontent.com/deliveryhero/helm-charts/refs/heads/master/	28
prometheus-elasticsearch-exporter	7.4.0	https://prometheus-community.github.io/helm-charts	28
openfaas	15.0.13	https://openfaas.github.io/faas-netes	28
jaeger-operator	2.57.0	https://jaegertracing.github.io/helm-charts	27
openmetadata	2.0.1	https://helm.open-metadata.org	27
policy-reporter	3.10.0	https://kyverno.github.io/policy-reporter	27
zitadel	11.0.0-beta.4	https://charts.zitadel.com	27
mail	5.1.0	https://bokysan.github.io/docker-postfix/	27
strimzi-kafka-operator	1.2.0	https://strimzi.io/charts	27
vaultwarden	1.4.2	https://gissilabs.github.io/charts/	27
drone	0.6.5	https://charts.drone.io	26
netbox	8.3.68	https://charts.netbox.oss.netboxlabs.com/	26
